Preisindizes im ‹berblick
Datum;Verbraucherpreisindex, 2015=100;Index der Einzelhandelspreise, 2015=100;Index der Erzeugerpreise gewerblicher Produkte, 2015=100;Index der Groﬂhandelsverkaufspreise, 2015=100;Index der Einfuhrpreise, 2015=100;Index der Ausfuhrpreise, 2015=100
01/03/2012;97,1;98,6;103,1;103,2;109,2;99,9
01/04/2012;96,9;98,7;103,3;103,7;108,9;100,2
01/05/2012;96,8;98,5;103,0;103,1;108,4;100,1
01/06/2012;96,7;98,2;102,6;102,1;106,9;99,9
01/07/2012;97,1;97,8;102,6;102,2;107,4;100,1
01/08/2012;97,4;98,2;103,0;103,0;108,4;100,3
01/09/2012;97,5;98,7;103,3;104,0;107,7;100,3
01/10/2012;97,5;99,1;103,4;103,4;107,2;100,1
01/11/2012;97,6;99,1;103,4;102,9;107,2;100,2
01/12/2012;97,9;99,0;103,1;102,9;106,6;99,9
01/01/2013;97,4;98,5;103,7;103,2;106,5;99,9
01/02/2013;98,0;98,9;103,5;103,3;106,8;99,8
01/03/2013;98,4;99,6;103,2;103,1;106,8;100,0
01/04/2013;98,0;99,7;103,1;102,9;105,7;99,8
01/05/2013;98,4;99,7;102,8;102,4;105,3;99,6
01/06/2013;98,5;99,6;102,7;102,2;104,6;99,2
01/07/2013;98,9;99,3;102,6;102,1;104,7;99,3
01/08/2013;98,9;99,2;102,5;101,8;104,8;99,3
01/09/2013;98,9;99,7;102,8;102,3;104,8;99,3
01/10/2013;98,7;99,9;102,6;101,5;104,1;99,0
01/11/2013;98,9;99,9;102,5;101,3;104,2;99,0
01/12/2013;99,3;99,9;102,6;101,6;104,2;98,9
01/01/2014;98,8;99,6;102,5;101,5;104,1;99,1
01/02/2014;99,2;99,8;102,5;101,4;104,0;99,1
01/03/2014;99,5;100,2;102,2;101,4;103,4;98,9
01/04/2014;99,4;100,2;102,1;101,6;103,1;99,0
01/05/2014;99,2;100,1;101,9;101,5;103,1;99,0
01/06/2014;99,5;100,0;101,9;101,4;103,3;99,1
01/07/2014;99,7;99,8;101,8;101,5;102,9;99,2
01/08/2014;99,8;99,8;101,7;101,3;102,8;99,2
01/09/2014;99,8;100,5;101,7;101,4;103,1;99,4
01/10/2014;99,5;100,3;101,6;100,8;102,8;99,3
01/11/2014;99,5;100,2;101,6;100,1;102,0;99,3
01/12/2014;99,5;99,8;100,9;99,2;100,3;99,0
01/01/2015;98,5;99,1;100,3;98,8;99,5;99,5
01/02/2015;99,2;99,4;100,4;99,4;100,6;99,9
01/03/2015;99,7;100,1;100,5;100,3;101,6;100,4
01/04/2015;100,2;100,4;100,6;100,7;102,1;100,8
01/05/2015;100,4;100,4;100,6;101,4;102,0;100,5
01/06/2015;100,4;100,1;100,5;101,3;101,4;100,4
01/07/2015;100,6;99,6;100,5;101,3;100,9;100,5
01/08/2015;100,6;99,7;100,0;100,4;99,5;100,0
01/09/2015;100,4;100,2;99,7;99,8;98,8;99,7
01/10/2015;100,4;100,4;99,3;99,3;98,4;99,5
01/11/2015;99,7;100,4;99,0;99,1;98,2;99,6
01/12/2015;99,7;100,0;98,6;98,2;97,1;99,2
01/01/2016;99,0;99,6;98,0;97,8;95,8;98,9
01/02/2016;99,3;99,8;97,6;97,3;95,0;98,5
01/03/2016;100,0;100,5;97,5;97,4;95,7;98,6
01/04/2016;100,1;100,8;97,7;97,6;95,5;98,5
01/05/2016;100,6;100,8;98,1;98,6;96,2;98,7
01/06/2016;100,7;100,6;98,4;99,3;96,7;99,0
01/07/2016;101,1;100,2;98,6;99,5;96,8;99,0
01/08/2016;101,0;100,2;98,5;98,7;96,7;98,9
01/09/2016;101,0;100,9;98,4;99,2;96,6;99,0
01/10/2016;101,2;101,2;98,8;99,5;97,5;99,3
01/11/2016;100,5;101,4;99,1;99,5;98,3;99,7
01/12/2016;101,2;101,4;99,6;100,9;100,1;100,3
01/01/2017;100,6;101,2;100,3;101,6;100,8;100,7
01/02/2017;101,2;101,6;100,5;102,0;101,4;100,9
01/03/2017;101,4;102,0;100,6;101,9;101,1;100,9
01/04/2017;101,8;102,1;100,9;102,3;101,0;101,1
01/05/2017;101,8;102,1;100,8;101,6;100,0;100,8
01/06/2017;102,1;101,8;100,8;101,7;99,0;100,6
01/07/2017;102,5;101,5;101,0;101,6;98,6;100,5
01/08/2017;102,6;101,7;101,1;101,7;98,6;100,3
01/09/2017;102,7;102,4;101,5;102,4;99,3;100,5
01/10/2017;102,5;102,6;101,6;102,2;99,9;100,6
01/11/2017;102,1;102,7;101,7;102,9;100,6;100,8
01/12/2017;102,6;102,8;101,9;102,6;100,8;100,8
01/01/2018;102,0;102,5;102,4;103,4;101,4;101,1
01/02/2018;102,3;102,6;102,3;103,1;100,9;101,0
01/03/2018;102,9;103,2;102,4;103,2;100,8;101,1
01/04/2018;103,1;103,5;102,8;103,5;101,4;101,3
01/05/2018;103,9;103,6;103,3;104,3;102,9;101,8
01/06/2018;104,0;103,4;103,7;105,2;103,4;102,1
01/07/2018;104,4;102,9;103,9;105,3;103,3;102,2
01/08/2018;104,5;103,1;104,2;105,6;103,3;102,4
01/09/2018;104,7;104,1;104,7;106,0;103,7;102,4
01/10/2018;104,9;104,3;105,0;106,3;104,7;102,6
01/11/2018;104,2;104,4;105,1;106,5;103,7;102,5
01/12/2018;104,2;103,9;104,7;105,2;102,4;102,1
01/01/2019;103,4;103,4;105,1;104,5;102,2;102,2
01/02/2019;103,8;103,8;105,0;104,8;102,5;102,3
01/03/2019;104,2;104,1;104,9;105,1;102,5;102,4
01/04/2019;105,2;104,5;105,4;105,7;102,8;102,6
01/05/2019;105,4;104,8;105,3;106,0;102,7;102,5
01/06/2019;105,7;104,5;104,9;105,5;101,3;102,3
01/07/2019;106,2;104,2;105,0;105,2;101,1;102,4
01/08/2019;106,0;104,2;104,5;104,4;100,5;102,3
01/09/2019;106,0;104,8;104,6;104,0;101,1;102,4
01/10/2019;106,1;105,0;104,4;103,9;101,0;102,4
01/11/2019;105,3;105,2;104,4;103,8;101,5;102,4
01/12/2019;105,8;105,2;104,5;103,8;101,7;102,5
01/01/2020;105,2;105,0;105,3;104,8;101,3;102,7
01/02/2020;105,6;105,4;104,9;103,9;100,4;102,6
01/03/2020;105,7;105,6;104,1;103,5;96,9;101,9
01/04/2020;106,1;105,9;103,4;102,0;95,2;101,5
01/05/2020;106,0;105,9;103,0;101,4;95,5;101,3
01/06/2020;106,6;105,7;103,0;102,0;96,1;101,3
01/07/2020;106,1;103,5;103,2;102,5;96,4;101,3
01/08/2020;106,0;103,5;103,2;102,1;96,5;101,2
01/09/2020;105,8;103,9;103,6;102,1;96,8;101,3
01/10/2020;105,9;104,2;103,7;101,9;97,1;101,4
01/11/2020;105,0;104,2;103,9;102,0;97,6;101,8
01/12/2020;105,5;104,0;104,7;102,6;98,2;101,9
01/01/2021;106,3;106,1;106,2;104,8;100,1;102,8
01/02/2021;107,0;106,7;106,9;106,3;101,8;103,3
01/03/2021;107,5;107,1;107,9;108,1;103,6;104,1
01/04/2021;108,2;107,5;108,8;109,3;105,0;104,9
01/05/2021;108,7;107,8;110,4;111,2;106,8;105,6
01/06/2021;109,1;108,0;111,8;112,9;108,5;106,4
01/07/2021;110,1;108,2;113,9;114,1;110,9;107,7
01/08/2021;110,1;108,3;115,6;114,7;112,4;108,5
01/09/2021;110,1;109,1;118,3;115,6;113,9;109,5
01/10/2021;110,7;109,7;122,8;117,4;118,2;111,0
01/11/2021;110,5;110,3;123,8;118,9;121,7;111,9
01/12/2021;111,1;110,5;130,0;119,1;121,8;113,0
01/01/2022;111,5;111,1;132,8;121,8;127,0;115,0
01/02/2022;112,5;112,0;134,6;123,9;128,6;116,1
01/03/2022;115,3;114,4;141,2;132,5;135,9;120,7
01/04/2022;116,2;115,6;145,2;135,3;138,3;121,7
01/05/2022;117,3;117,0;147,5;136,7;139,5;122,4
01/06/2022;117,4;117,6;148,4;136,8;140,9;123,5
